agg0: pro11 pro13 pro16 pro19 pro1 pro7 pro15 pro507 pro9 pro14 pro6 pro5 pro3 pro8 pro18 pro0 pro764 pro591 pro180 pro712
agg1: pro728 pro802 pro551 pro926 pro151 pro289 pro63 pro756 pro228 pro824 pro198 pro163 pro651 pro191 pro488 pro724 pro449 pro301 pro142 pro123
agg10: pro217 pro208 pro213 pro209 pro201 pro214 pro211 pro215 pro205 pro218 pro203 pro207 pro202 pro212 pro219 pro398 pro993 pro711 pro619 pro516
agg11: pro221 pro227 pro233 pro96 pro235 pro223 pro237 pro236 pro229 pro222 pro239 pro234 pro224 pro226 pro429 pro231 pro192 pro837 pro629 pro842
agg12: pro242 pro244 pro252 pro253 pro476 pro256 pro247 pro241 pro249 pro254 pro859 pro243 pro258 pro240 pro251 pro255 pro448 pro81 pro741 pro653
agg13: pro669 pro678 pro674 pro676 pro679 pro664 pro277 pro261 pro274 pro269 pro265 pro275 pro403 pro267 pro263 pro270 pro525 pro454 pro967 pro610
agg14: pro283 pro281 pro299 pro297 pro282 pro294 pro291 pro396 pro295 pro392 pro285 pro290 pro493 pro286 pro292 pro287 pro17 pro55 pro750 pro666
agg15: pro310 pro305 pro317 pro313 pro303 pro309 pro312 pro302 pro307 pro306 pro206 pro308 pro314 pro318 pro315 pro316 pro12 pro581 pro543 pro595
agg16: pro338 pro320 pro334 pro323 pro325 pro328 pro335 pro327 pro126 pro330 pro322 pro336 pro332 pro331 pro185 pro329 pro65 pro298 pro24 pro355
agg17: pro356 pro358 pro353 pro352 pro348 pro346 pro342 pro340 pro349 pro357 pro354 pro344 pro341 pro385 pro351 pro343 pro578 pro117 pro423 pro321
agg18: pro366 pro378 pro371 pro377 pro372 pro364 pro373 pro367 pro375 pro363 pro379 pro374 pro369 pro360 pro361 pro337 pro868 pro882 pro264 pro500
agg2: pro47 pro48 pro58 pro40 pro57 pro44 pro41 pro50 pro45 pro749 pro59 pro52 pro43 pro53 pro56 pro54 pro940 pro878 pro917 pro662
