Source,Target,Cost
agg0,pro1,5
agg0,pro3,5
agg0,pro0,5
agg0,pro4,5
agg0,pro2,5
agg0,pro26,9
agg0,pro54,9
agg0,pro27,9
agg0,pro28,9
agg0,pro29,9
agg0,pro50,9
agg0,pro51,9
agg0,pro52,9
agg0,pro53,9
agg0,pro75,9
agg0,pro76,9
agg0,pro77,9
agg0,pro78,9
agg0,pro79,9
agg0,pro25,9
agg0,pro80,10
agg0,pro81,10
agg0,pro8,10
agg0,pro10,10
agg0,pro11,10
agg0,pro12,10
agg0,pro13,10
agg0,pro14,10
agg0,pro74,10
agg0,pro73,10
agg0,pro72,10
agg0,pro71,10
agg0,pro70,10
agg0,pro7,10
agg0,pro69,10
agg0,pro68,10
agg0,pro67,10
agg0,pro66,10
agg0,pro65,10
agg0,pro64,10
agg0,pro90,10
agg0,pro99,10
agg0,pro98,10
agg0,pro97,10
agg0,pro96,10
agg0,pro95,10
agg0,pro94,10
agg0,pro93,10
agg0,pro92,10
agg0,pro91,10
agg0,pro62,10
agg0,pro9,10
agg0,pro89,10
agg0,pro88,10
agg0,pro87,10
agg0,pro86,10
agg0,pro85,10
agg0,pro84,10
agg0,pro83,10
agg0,pro82,10
agg0,pro35,10
agg0,pro43,10
agg0,pro42,10
agg0,pro41,10
agg0,pro40,10
agg0,pro20,10
agg0,pro39,10
agg0,pro38,10
agg0,pro37,10
agg0,pro36,10
agg0,pro44,10
agg0,pro34,10
agg0,pro33,10
agg0,pro32,10
agg0,pro31,10
agg0,pro30,10
agg0,pro21,10
agg0,pro22,10
agg0,pro23,10
agg0,pro24,10
agg0,pro16,10
agg0,pro61,10
agg0,pro60,10
agg0,pro6,10
agg0,pro59,10
agg0,pro58,10
agg0,pro57,10
agg0,pro56,10
agg0,pro55,10
agg0,pro15,10
agg0,pro63,10
agg0,pro17,10
agg0,pro18,10
agg0,pro19,10
agg0,pro5,10
agg0,pro49,10
agg0,pro48,10
agg0,pro47,10
agg0,pro46,10
agg0,pro45,10
agg1,pro8,5
agg1,pro6,5
agg1,pro5,5
agg1,pro7,5
agg1,pro9,5
agg1,pro33,9
agg1,pro82,9
agg1,pro81,9
agg1,pro80,9
agg1,pro30,9
agg1,pro31,9
agg1,pro32,9
agg1,pro34,9
agg1,pro55,9
agg1,pro56,9
agg1,pro57,9
agg1,pro58,9
agg1,pro59,9
agg1,pro84,9
agg1,pro83,9
agg1,pro92,10
agg1,pro99,10
agg1,pro69,10
agg1,pro68,10
agg1,pro67,10
agg1,pro66,10
agg1,pro65,10
agg1,pro64,10
agg1,pro93,10
agg1,pro63,10
agg1,pro62,10
agg1,pro61,10
agg1,pro60,10
agg1,pro94,10
agg1,pro95,10
agg1,pro96,10
agg1,pro97,10
agg1,pro98,10
agg1,pro54,10
agg1,pro85,10
agg1,pro86,10
agg1,pro87,10
agg1,pro79,10
agg1,pro88,10
agg1,pro89,10
