Source,Target,Cost
agg0,pro0,2
agg0,pro1,2
agg0,pro2,2
agg0,pro3,2
agg0,pro4,2
agg0,pro5,7
agg0,pro6,7
agg0,pro7,7
agg0,pro8,7
agg0,pro9,7
agg1,pro5,2
agg1,pro6,2
agg1,pro7,2
agg1,pro8,2
agg1,pro9,2
agg1,pro0,7
agg1,pro1,7
agg1,pro2,7
agg1,pro3,7
agg1,pro4,7
agg10,pro0,7
agg10,pro1,7
agg10,pro2,7
agg10,pro3,7
agg10,pro4,7
agg10,pro5,7
agg10,pro6,7
agg10,pro7,7
agg10,pro8,7
agg10,pro9,7
agg2,pro0,5
agg2,pro1,5
agg2,pro2,5
agg2,pro3,5
agg2,pro4,5
agg2,pro5,6
agg2,pro6,6
agg2,pro7,6
agg2,pro8,6
agg2,pro9,6
agg3,pro5,5
agg3,pro6,5
agg3,pro7,5
agg3,pro8,5
agg3,pro9,5
agg3,pro0,6
agg3,pro1,6
agg3,pro2,6
agg3,pro3,6
agg3,pro4,6
agg4,pro0,6
agg4,pro1,6
agg4,pro2,6
agg4,pro3,6
agg4,pro4,6
agg4,pro5,6
agg4,pro6,6
agg4,pro7,6
agg4,pro8,6
agg4,pro9,6
agg5,pro0,6
agg5,pro1,6
agg5,pro2,6
agg5,pro3,6
agg5,pro4,6
agg5,pro5,6
agg5,pro6,6
agg5,pro7,6
agg5,pro8,6
agg5,pro9,6
agg6,pro0,6
agg6,pro1,6
agg6,pro2,6
agg6,pro3,6
agg6,pro4,6
agg6,pro5,6
agg6,pro6,6
agg6,pro7,6
agg6,pro8,6
agg6,pro9,6
agg7,pro0,6
agg7,pro1,6
agg7,pro2,6
agg7,pro3,6
agg7,pro4,6
agg7,pro5,6
agg7,pro6,6
agg7,pro7,6
agg7,pro8,6
agg7,pro9,6
agg8,pro0,6
agg8,pro1,6
agg8,pro2,6
agg8,pro3,6
agg8,pro4,6
agg8,pro5,6
agg8,pro6,6
agg8,pro7,6
agg8,pro8,6
agg8,pro9,6
agg9,pro0,6
agg9,pro1,6
agg9,pro2,6
agg9,pro3,6
agg9,pro4,6
agg9,pro5,6
agg9,pro6,6
agg9,pro7,6
agg9,pro8,6
agg9,pro9,6
con0,pro0,7
con0,pro1,7
con0,pro2,7
con0,pro3,7
con0,pro4,7
con0,pro5,7
con0,pro6,7
con0,pro7,7
con0,pro8,7
con0,pro9,7
pro0,pro0,0
pro0,pro1,2
pro0,pro2,2
pro0,pro3,2
pro0,pro4,2
pro0,pro5,9
pro0,pro6,9
pro0,pro7,9
pro0,pro8,9
pro0,pro9,9
pro1,pro1,0
pro1,pro0,2
pro1,pro2,2
pro1,pro3,2
pro1,pro4,2
pro1,pro5,9
pro1,pro6,9
pro1,pro7,9
pro1,pro8,9
pro1,pro9,9
pro2,pro2,0
pro2,pro0,2
pro2,pro1,2
pro2,pro3,2
pro2,pro4,2
pro2,pro5,9
pro2,pro6,9
pro2,pro7,9
pro2,pro8,9
pro2,pro9,9
pro3,pro3,0
pro3,pro0,2
pro3,pro1,2
pro3,pro2,2
pro3,pro4,2
pro3,pro5,9
pro3,pro6,9
pro3,pro7,9
pro3,pro8,9
pro3,pro9,9
pro4,pro4,0
pro4,pro0,2
pro4,pro1,2
pro4,pro2,2
pro4,pro3,2
pro4,pro5,9
pro4,pro6,9
pro4,pro7,9
pro4,pro8,9
pro4,pro9,9
pro5,pro5,0
pro5,pro6,2
pro5,pro7,2
pro5,pro8,2
pro5,pro9,2
pro5,pro0,9
pro5,pro1,9
pro5,pro2,9
pro5,pro3,9
pro5,pro4,9
pro6,pro6,0
pro6,pro5,2
pro6,pro7,2
pro6,pro8,2
pro6,pro9,2
pro6,pro0,9
pro6,pro1,9
pro6,pro2,9
pro6,pro3,9
pro6,pro4,9
pro7,pro7,0
pro7,pro5,2
pro7,pro6,2
pro7,pro8,2
pro7,pro9,2
pro7,pro0,9
pro7,pro1,9
pro7,pro2,9
pro7,pro3,9
pro7,pro4,9
pro8,pro8,0
pro8,pro5,2
pro8,pro6,2
pro8,pro7,2
pro8,pro9,2
pro8,pro0,9
pro8,pro1,9
pro8,pro2,9
pro8,pro3,9
pro8,pro4,9
pro9,pro9,0
pro9,pro5,2
pro9,pro6,2
pro9,pro7,2
pro9,pro8,2
pro9,pro0,9
pro9,pro1,9
pro9,pro2,9
pro9,pro3,9
pro9,pro4,9
